zone_name,land_use
Alphabet City,Residential
Battery Park,Recreational
Battery Park City,Residential
Bloomingdale,Residential
Central Harlem,Residential
Central Harlem North,Residential
Central Park,Recreational
Chinatown,Commercial
Clinton East,Residential
Clinton West,Residential
East Chelsea,Recreational
East Harlem North,Residential
East Harlem South,Residential
East Village,Residential
Financial District North,Commercial
Financial District South,Commercial
Flatiron,Commercial
Garment District,Commercial
Governor's Island/Ellis Island/Liberty Island,Recreational
Gramercy,Residential
Greenwich Village North,Recreational
Greenwich Village South,Recreational
Hamilton Heights,Residential
Highbridge Park,Recreational
Hudson Sq,Transportation
Inwood,Residential
Inwood Hill Park,Recreational
Kips Bay,Transportation
Lenox Hill East,Residential
Lenox Hill West,Residential
Lincoln Square East,Recreational
Lincoln Square West,Transportation
Little Italy/NoLiTa,Recreational
Lower East Side,Transportation
Manhattan Valley,Residential
Manhattanville,Transportation
Marble Hill,Residential
Meatpacking/West Village West,Residential
Midtown Center,Commercial
Midtown East,Commercial
Midtown North,Commercial
Midtown South,Commercial
Morningside Heights,Residential
Murray Hill,Residential
Penn Station/Madison Sq West,Transportation
Randalls Island,Recreational
Roosevelt Island,Residential
Seaport,Commercial
SoHo,Transportation
Stuy Town/Peter Cooper Village,Residential
Sutton Place/Turtle Bay North,Residential
Times Sq/Theatre District,Commercial
TriBeCa/Civic Center,Residential
Two Bridges/Seward Park,Residential
UN/Turtle Bay South,Transportation
Union Sq,Commercial
Upper East Side North,Residential
Upper East Side South,Residential
Upper West Side North,Residential
Upper West Side South,Residential
Washington Heights North,Residential
Washington Heights South,Residential
West Chelsea/Hudson Yards,Recreational
West Village,Residential
World Trade Center,Commercial
Yorkville East,Residential
Yorkville West,Residential
